quantity,bin,binBarcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity
0,BIN 1,1776787343289,Spurs,1,AJR Sport Smooth Rowel Horizontal Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPRH35,Size: 35mm,,,,,Wellington Warehouse,46400,46400,46400,80000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport TeffleX Vertical Roller Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPTV30,Size: 30mm,,,,,Wellington Warehouse,50460,50460,50460,87000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport Smooth Rowel Horizontal Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPRH30,Size: 30mm,,,,,Wellington Warehouse,46400,46400,46400,80000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport Stainless Steel Square End Spur (Block Design),Tack & Equipment > Spurs & Straps > English Spurs,SPSSE35,Size: 35mm,,,,,Wellington Warehouse,49300,49300,49300,85000,0,0,
1,BIN 1,1776787343289,Spurs,1,AJR Sport TeffleX Horizontal Roller Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPTH25,Size: 25mm,,,,,Wellington Warehouse,50460,50460,50460,87000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport Stainless Steel Square End Spur (Block Design),Tack & Equipment > Spurs & Straps > English Spurs,SPSSE25,Size: 25mm,,,,,Wellington Warehouse,49300,49300,49300,85000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport TeffleX Horizontal Roller Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPTH30,Size: 30mm,,,,,Wellington Warehouse,50460,50460,50460,87000,0,0,
1,BIN 1,1776787343289,Spurs,1,AJR Sport Stainless Steel Square End Spur (Block Design),Tack & Equipment > Spurs & Straps > English Spurs,SPSSE15,Size: 15mm,,,,,Wellington Warehouse,49300,49300,49300,85000,0,0,
1,BIN 1,1776787343289,Spurs,1,AJR Sport UFO Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPUFO25,Size: 25mm,,,,,Wellington Warehouse,46400,46400,46400,80000,0,0,
0,BIN-03,1768845014311,Shelf 13,3,"AJR Sport 4/8"" Flat Curb Rein - Jumper Collection","Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Reins",REIN-003-C,Color: Brown,Size: Cob,,,,Wellington Warehouse,71340,71340,71340,123000,0,0,
1,BIN-03,1768845014311,Shelf 13,3,"AJR Sport 4/8"" Flat Curb Rein - Jumper Collection","Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Reins",REIN-003-F,Color: Brown,Size: Full,,,,Wellington Warehouse,71340,71340,71340,123000,0,0,
4,BIN 1,1776787211212,Gloves,1,AJR Sport Stirrup Leathers,Tack & Equipment > Stirrups & Leathers > Stirrup Leathers & Accessories,STIR-58- 135,Color: Brown,"Size: 135/53""",,,,Wellington Warehouse,124410,124410,124410,214500,0,0,
1,BIN-03,1768845014311,Shelf 13,3,AJR Sport Raised Running Martingale,Tack & Equipment > Martingales & Breastplates,MRTG-014-F,Size: Full,Color: Brown,,,,Wellington Warehouse,137170,137170,137170,236500,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Anatomic Breastplate with Attachment to Billets & Running Attachment - Jumper Collection,Tack & Equipment > Martingales & Breastplates,BRST-016-C,Color: Brown,Size: Cob,,,,Wellington Warehouse,188790,188790,188790,325500,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Raised Running Martingale,Tack & Equipment > Martingales & Breastplates,MRTG-014-C,Size: Cob,Color: Brown,,,,Wellington Warehouse,137170,137170,137170,236500,0,0,
0,BIN-03,1768845014311,Shelf 13,3,"AJR Sport 5/8"" Leather Rein with Inner Rubber Strip & Leather Grips - Jumper Collection","Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Reins",REIN-005-C,Size: Cob,Color: Brown,,,,Wellington Warehouse,84970,84970,84970,146500,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Fancy Raised Laced Leather Rein - Hunter Collection,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Reins",REIN-009-C,Color: Brown,Size: Cob,,,,Wellington Warehouse,107880,107880,107880,186000,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Anatomic Breastplate with Attachment to Billets & Running Attachment - Jumper Collection,Tack & Equipment > Martingales & Breastplates,BRST-016-F,Color: Brown,Size: Full,,,,Wellington Warehouse,188790,188790,188790,325500,0,0,
1,BIN-03,1768845014311,Shelf 13,3,"AJR Sport 5/8"" Leather Rein with Inner Rubber Strip & Leather Grips - Jumper Collection","Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Reins",REIN-005-F,Size: Full,Color: Brown,,,,Wellington Warehouse,84970,84970,84970,146500,0,0,
1,BIN-03,1768845014311,Shelf 13,3,AJR Sport Fancy Raised Laced Leather Rein - Hunter Collection,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Reins",REIN-009-F,Color: Brown,Size: Full,,,,Wellington Warehouse,107880,107880,107880,186000,0,0,
0,BIN-03,1768845014311,Shelf 13,3,AJR Sport Anatomic Breastplate with Clips & Running Attachment - Jumper Collection,Tack & Equipment > Martingales & Breastplates,BRST-017-C,Color: Brown,Size: Cob,,,,Wellington Warehouse,188790,188790,188790,325500,0,0,
1,BIN 1,1776787211212,Gloves,1,AJR Sport Stirrup Leathers,Tack & Equipment > Stirrups & Leathers > Stirrup Leathers & Accessories,STIR-58- 145,Color: Brown,"Size: 145/57""",,,,Wellington Warehouse,124410,124410,124410,214500,0,0,
2,BIN 1,1776787211212,Gloves,1,AJR Sport Stirrup Leathers,Tack & Equipment > Stirrups & Leathers > Stirrup Leathers & Accessories,STIR-58- 125,Color: Brown,"Size: 125/49""",,,,Wellington Warehouse,124410,124410,124410,214500,0,0,
